treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Serveurs,Utilisation,0.000000000045800,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur console,Serveurs,Fin de vie,0.000000000045800,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Fabrication de ↴,L'Ordinateur portable,0.000002720000000,par étape de cycle de vie,"Pour l'ordinateur portable, la connexion internet est plus importante en terme d'impact sur les ressources minérales et métalliques que dans les scénarios de l'ordinateur de bureau et de la console, car l'impact de la fabrication de l'ordinateur portable est plus faible que celui de l'ordinateur fixe ou de la console."
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Transport de ↴,L'Ordinateur portable,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Utilisation de ↴,L'Ordinateur portable,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Fin de vie de ↴,L'Ordinateur portable,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Connexion internet,Fabrication,0.000000434000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Connexion internet,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Connexion internet,Utilisation,0.000000002190000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Connexion internet,Fin de vie,0.000000002190000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Serveurs,Fabrication,0.000000009070000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Serveurs,Transport,0.000000000000000,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Serveurs,Utilisation,0.000000000045800,par étape de cycle de vie,
Jeu vidéo,Ressources minérales et métalliques,Jouer sur ordinateur portable,Serveurs,Fin de vie,0.000000000045800,par étape de cycle de vie,
